name,chamber,party,state,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Charles W. Dent,House, R, PA,15,0.909,0.076,0.853,0.055999999999999994
Adam B. Schiff,House, D, CA,28,0.182,-0.498,0.126,0.055
Bill Pascrell Jr.,House, D, NJ,9,0.212,-0.312,0.158,0.054000000000000006
Lee M. Zeldin,House, R, NY,1,0.97,0.12300000000000001,0.9159999999999999,0.054000000000000006
Joe Barton,House, R, TX,6,0.9690000000000001,0.12300000000000001,0.915,0.054000000000000006
Rick W. Allen,House, R, GA,12,1.0,0.162,0.9470000000000001,0.053
David Scott,House, D, GA,13,0.19399999999999998,-0.444,0.141,0.053
Mike Quigley,House, D, IL,5,0.182,-0.466,0.13,0.052000000000000005
Mike Thompson,House, D, CA,5,0.182,-0.449,0.132,0.05
Brad Sherman,House, D, CA,30,0.188,-0.434,0.138,0.049
Gregory W. Meeks,House, D, NY,5,0.16699999999999998,-0.73,0.11800000000000001,0.049
Tim Walberg,House, R, MI,7,1.0,0.17,0.9520000000000001,0.048
Stevan Pearce,House, R, NM,2,0.9390000000000001,0.102,0.892,0.048
Adam Kinzinger,House, R, IL,16,1.0,0.172,0.953,0.047
Bill Huizenga,House, R, MI,2,1.0,0.17600000000000002,0.955,0.045
Bill Flores,House, R, TX,17,1.0,0.175,0.955,0.045
Joe Wilson,House, R, SC,2,1.0,0.177,0.955,0.045
Lynn Jenkins,House, R, KS,2,1.0,0.184,0.9570000000000001,0.043
